4, 組織の状況*
8.4.3, 外部提供者に対する情報*組織は、外部提供者に伝達する前に、要求事項が災当であることを確実にしなければならない.*組織は、次の事項に関する要求事項を、外部提供者に伝達しなけれ*ばならない.*a)提供されるプロセス、製品及びサービス*b)次の事項についての承認*1)製品及びサービス*2)方法、プロセス及び設備*3)製品及びサービスのリリース*c)人々の力量、これには必要な適格性を含む*d)組織と外部提供者との相互作用*e)組織が適用する、外部提供者のパフォーマンスの管理及び監視*f)組織又はその顧客が外部提供者先での実施を意図している検証又は妥当性確認活動*
8.4.3.1, 外部提供者に対する情報一補足*組織は、全ての該当する法令・規制要求事項、並びに製品及び工程の特殊特性を供給者に引き渡し、サプライチェーンをたどって、製造現場にまで、全ての該当する要求事項を展開するよう、供給者に要求しなければな*らない.*
8.5, 製造及びサービス提供*
8.5.1, 製造及びサービス提供の管理*組織は、 製造及びサービス提供を、管理された状態で実行しｈなけれ*ばならない. *管理された状態には、 次の事項のうち、 該当するものについては、*必ず、 含めなければならない。*a)次の事項を定めた文書化した情報を利用できるようにする.*1)製造する製品 提供するサービス又は実施する活動の特性*2)達成すべき結果*b)監視及び測定のための適切な資源を利用できるようにしつ、かつ、*使用する*c)プロセス又はアウトプットの管理基準、並びに製品及びさサービス*の合否判定基準を満たしていることを徐証するために、 適切な段*階で監視及び測定活動を実施する.*d)プロセスの運用のための適切なインフラストラクチャ及び環境を*使用する。*e)必要な適格性を含め、力量を備えた人々を任命する。*f)製造及びサービス提供のプロセスで、結果として生じるアウトプッ*トを、それ以降の監視又は測定で検証することが不可能な場合に*は、 製造及びサービス提供に関するプロセスの、計画した結果を*達成する能力について、妥当性確認を行い、定期的に妥当性を再*確認する。*g)ヒューマンエラーを防止するための処置を実施する。*h)リリース、顧客への引渡し及び引き渡し後の活動を実施する。*注記 適切なインフラストラクチャは、 製品の適合を確実にするため*に必要な、 適切な製造設備を含む. 監視及び測定のための資源*は、製造工程の効果的な管理を確実にするために必要な、適切な*監視及び測定設備を含む。*
8.5.1.1, コントロールプラン*組織は、 該当する製造サイト及び全ての供給する製品に対して、 コント*ロールプラン (附属書A に従って) を、 システム、 サブシステム、 構成*部品及びプ又は材料のレベルで、 部品だけではなくバルク材料を含めて、*策定しなければならない. ファミリーコントロールプランは、 バルク材料*及び共通の製造工程を使う類似の部品に対して容認される.*組織は、 量産試作及び量産に対して、 どのようにつながっているかを示*し (もし顧客から提供きれれば) 設計リスク分析からの情報や、 工程フロ*ー図及び製造工程のリスク分析のアウトプット (FMREA のような) から*の情報を反映する、 コントロールプランをもたなければならない.*組織は、 顧客から要求される場合、 量産試作又は量産コントロールプ*ランを実行したときに集めた測定及び適合データを顧客に提供しなければ*ならない. 組織は、 次の事項をコントロールプランに含めなければならな*作業の段取り替え検証を含む、 製造工程の管理に使用さきれる管理手段*b)該当する場合には、 必ず、 初品の終品の妥当性確認*c)顧客及び組織の双方で定められた、 特殊特性に施される管理の監視方*法 (附属書A 参照)*d)もしあれば、 顧客から要求される情報*e)不適合製品が検出された場合、 工程が統計的に不安定又は統計的に能*力不足になった場合の、 規定された対応計画 (附属書 A 参照)*組織は、 次の事項が発生した場合、 コントロールプランをレビューレし、*必要に応じて更新しなければならない.*f)不適合製品を顧客に出荷したと組織が判断した場合*g)製品 製造工程、 測定、 物流、 供給元、 生産量変更、 又はリスク分析*(FMEA) に影響する、 変更が発生した場合 (附属書 A 参照)*h)該当する場合には、 必ず、 顧客苦情及び関連する基正処置が実施きれ*た後*i)リスク分析に基づく、 設定された頻度で*顧客に要求されれば、 組織は、 コントロールプランのレビュー又は改訂*の人後で、 顧客の承認を得なければならない.*
8.5.1.2, 標準作業一作業者指示書及び目視標準*組織は、 標準作業文書が次のとおりであることを確実にしなければなら*ない.*a)作業を行う責任をもつ従業員に伝達され、 理解される.*b)読みやすい.*c)それに従う責任のある要員に理解される言語で提供する.*d)指定された作業現場で利用可能である.*標準作業文書には、 作業者の安全に対する規則も、 含めなければならな*い.*
8.5.1.3, 作業の段取り替え検証*組織は、 次の事項を実施しなければならない.*a)作業の立上げ、 材料切替え、 又は作業変更のような新しい段取り替え*が実行きれる場合は、 作業の段取り堆えを検証する.*b)段取り替え要員のために文書化した情報を維持する.*c)該当する場合には、 必ず、 検証に統計的方法を使用する.*d)該当する場合には、 必ず、 初品/終品の婦当性確認を実施する. 必要*に応じて、 初品は終品との比較のために保持し、 終品は次の工程稼働*まで保持することが望ましい.*e)段取り替え及び初品/終品の妥当性確認後の工程及び製品承認の記録*を保持する.*
8.5.1.4, シャットダウン後の検証*組織は、 計画的又は非計画的シャットダウン後に、 製品が要求事項に*適合することを確実にするのに必要な処置を定め、 実施しなければならない.*
8.5.1.5, TPM (Total productive maintenance)*組織は、 文書化した TPM システムを構築し、 実施し、 維持しなければ*ならない.*そのシステムには、 最低限、 次の事項を含めなければならない.*a)要求きれた量の適合製品を生産するために必要な工程設備の特定*b)a)で特定された設備に対する交換部品の入手性*c)機械、 設備及び施設の保全のための資源の提供*d)設備、 治工具及びゲージの包装及び保存*e)該当する顧客固有要求事項*f)文書化した保全目標。 例えば、 OEE (総合設備効率)、 MTBF (平*均故障間隔) 及び MTTR (平均修理時間)、 並びに了予防保全の順守*指標保全目標に対するパフォーマンスは、 マネジメントレビュー*(ISO 9001 の 9.3 参照) へのインプットとしなければならない.*g)目標が未達であった場合の、 保全計画及び目標。並びに基正処置に取*り組む文書化した処置計画に関する定期的レビュー*h)予防保全の方法の使用*i)該当する場合には、 必ず、 予知保全の方法の使用*j)定期的オーバーホール*
8.5.1.6, 生産治工具並びに製造、 試験、 検査の治工具及び設備の運用管理*組織は、 該当する場合には、 必ず、 生産及びサービス用材料並びにバル*ク材のための治工具及びゲージの設計、 製作、 及び検証活動に対して資源*を提供しなければならない.*組織は、 次の事項を含む、 組織所有又は顧客所有の生産治工具であって*も、 これらの運用管理システムを確立し、 実施しなければならない.*a)保全及び修理用施設並びに要員*b)保管及び補充*c)段取り替え*d)消耗する治工具の交換プログラム*e)製品の技術変更レベルを含む、 治工具設計変更の文書化*f)治工具の改修及び文書の改訂*g)シリアル番号又は資産番号のような、 生産中、 修理中又は廃却のよう*な状況、 所有者及び場所に関する治工具の識別*組織は、 顧客所有の治工具、 製造設備及び試験検査設備に、 所有権及*び各品目の適用が明確になるように、 見やすい位置に恒久的マークが付い*ていることを検証しなければならない.*組織は、 作業がアウトソースされる場合、 これらの活動を監視するシス*テムを実施しなければならない.*
8.5.1.7, 生産計画*組織はジャストインタイム(JIT)のような顧客の注文/需要を満たすために*生産が計画されていること及び工程の重要なところで生産情報に*アクセスできるようにする情報システムによってサポートされていること、*並びに発注・受注を中心とされていることを確実にしなければならない。*組織は、生産計画中に、関連する計画情報、例えば、顧客注文、供給者オンタイム納入パフォーマンス、*生産能力、共通の負荷(複数部品加工場)、リードタイム、在庫レベル、予防保全及び校正をふくめなければならない。*
8.5.2, 識別及びトレーサビリティー*製品及びサービスの適合を確実にするために必要な場合、組織は、アウトプットを識別するために、適切な手段を用いなければならない。*組織は、 製造及びサービス提供の全過程において、 監視及び測定の*要求事項に関連して.アウトプットの状態を識別しなければならない.*トレーサビリティが要求事項となっている場合には、 組織は、 アウ*トプットについて一意の識別を管理し、 トレーサビリティを可能とす*るために必要な文書化した情報を保持しなければならない.*注記 検査及び試験の状態は、 自動化された製造搬送工程中の材料の*ように本質的に明確である場合を除き、 生産フローにおける製*品の位置によっては示されない. 状態が明確に識別され、 文書*化きれ、 規定された目的を達成するならば、 代替手段が認めら*れる.*
8.5.2.1, 識別及びトレーサビリティー補足*トレーサビリティの目的は、 顧客が受け入れた製品、 又は市場におい*品質及びバ又は安全関係の不適合を含んでいる可能性がある製品に対し*て、 開始、 停止時点を明確に特定することを支援するためにある. したが*って、 組織は、 識別及びトレーサビリティのプロセスをト記に記載されて*いるとおりに実施しなければならない.*組織は、 全ての自動車製品に対して、 従業員、 顧客及び消費者に対する*リスクのレベル又は夏障の重大性に基づいて、 トレーサビリティ計画の評*定及び文書化を含めて、 内部、 顧客及び規制のトレーサビリティ有要求事項*の分析を実施しなければならない. その計画は、 製品、 プロセス及び製造*場所ごとに、 適切なトレーサビリティシステム、 プロセス及び方法を、 次*のようになるように、 定めなければならない、.*a)組織が、不適合製品及び又は疑わしい製品を識別できるようにする.*b)組織が、不適合製品及び又は疑わしい製品を分別できるようにする.*c)顧客及び又は規制の対応時間の要求事項を満たす能力を確実にする.*d)組織が対応時間の要求事項を満たむするようにできる様式 (電子版、 印*軸版。 保管用) で文書化した情報を保持することを確実にする.*e)顧客又は規制基準によって規定されている場合、 個別製品のシリアル*化きされた識別を確実にする.*f)識別及びトレーサビリティ要求事項が、 安全規制特性をもつ、 外部*から提供される製品に拡張適用することを確実にする.*
8.5.3, 顧客又は外部提供者の所有*組織は 顧客又は外部提供者の所有物について、それが組織の管理*下にある間、 又は組織がそれを使用している間は、 注意を払わなけれ*ばならない.                         |*組織は、 使用するため又は製品及びサービスに組み込むために提供*された雄客又は外部提供者の所有物の識別 検証及び保護・ 防護を実施*しなければならない。*顧客若しくは外部提供者の所有物を紛失若しくは損傷した場合、又は*その他これらが使用に適さないと判断した場合には、組織は、その*旨を顧客駐は外部提供者に報告し、 発生した事柄について文書化した*情報を保持しなければならない.*注記 顧客又は外部提供着の所有物には、 材料、部品、道具、設備、*施設、 知的財産、 個人情報などが含まれ得る.*
8.5.4, 保存*組織は、 製造及びサー ビス提供を行   要求事項への適合を確実*にするために必要な程度に、アウトプットを保存しなければならない.*注記 保存に関わる考慮事項には、 識別、 取扱い。 汚染防止。包*装、 保管、 伝送又は輸送、及び保護が含まれ得る.*
8.5.4.1, 保存一補足*保存に関わる考慮事項には、 識別 取扱い、 汚染防止、 包装、 保管、伝*送又は輸送及び保護を含めなければならない.*保存は、 外部及び又は内部の提供者からの材料及び構成部品に、 受1*から加工を通じて、 顧客による納入/受入れまでを含めて、 適用しなけれ*ばならない.*劣化を検出するために、 組織は、 保管中の製品の状態、 保管容器の場所*グ方式及び保管環境を、 適切に予定された間隔で評価しなければならない.*組織は、 在庫回転時間を最適化するため及び 【先入れ先出し】(FIFO)*のような、 在庫の回転を確実にするために、 在庫管理システムを使用しな*ければならない.*組織は、 旧式となった製品は、 不適合製品と同様な方法で管理すること*を、 確実にしなければならない.*組織は、 顧客から提供された、 保存、 包装、 出荷及びラベリング要求事*項に適合しなければならない.*
8.5.5, 引渡し後の活動*組織は、 製品及びサービスに関連する引渡し後の活動に関する要求*事項を満たきなければならない.*要求される引渡し後の程度を決定するに当たって 組織は、*次の事項を考慮しなければならない。*a)法令・規制要求事項*b)製品及びサービスに関連して起こり得る望ましくない結果*c)製品及びサービスの性質、用途及び意図した耐用期間*d)顧客要求事項*e)顧客からのフィードパック*注記 引渡し後の活動には、契約条項(warranty provisions)*メンテナンスサービスのような契約機部、及びリサイクル*又は最終廃棄のような付帯サービスの下での活動が含まれ*得る.*
8.5.5.1, サービスからの情報のフィードバック*組織は、 製造、 材料の取扱い、 物流、 技術及び設計活動へのサービスの*懸念事項に関する情報を伝舌するプロセスを確立し、 実施し、 維持するこ*とを確実にしなければならない.*注記1 この箇条に 【サービスの懸念事項】を追加する意図は、 顧客*のサイト又は市場で特定される可能性がある、 不適合製品*及び不適合材料を組織が認識することを確実にするためであ*る.*注記2 【サービスの懸念事項】に、 該当する場合には、 必ず、 市場*不具合の試験解析 (10.2.6 参照) の結果を含めることが過*ましい.*
8.5.5.2, 顧客とのサービス契約*顧客とのサービス契約がある場合、 組織は次の事項を実施しなければな*らない.*a)関連するサービスセンターが、 該当する要求事項に適合することを検*証する.*b)特殊目的治工具又は測定設備の有効性を検証する.*c)全てのサービス要員が該当する要求事項について教育訓練されている*ことを確実にする.*
8.5.6, 変更の管理*組織は 製造又はサービス提供に関する変更を、要求事項への継続*的な適合を確実にするために必要な程度までレビューし、管理しな*ければならない.*組織は、 変更のレビューの結果、変更を正式に許可した人(又は*人々) 及びレビューから生じた必要な処置を記載した、 文書化した情*報を保持しなければならない.*
8.5.6.1, 変更の管理一補足*組織は、 製品実現に影響する変更を管理し対応する、 文書化したプロセ*スをもたなければならない. 組織、 顧客. 又は供給者に起因する変更を含*変更の影響を評価しなければならない.*は 次の事項を実施しなければならない.*a)顧客要求事項への適合を確実にするための検証及び妥当性確認の活動*を定める.*b)実施の前に変更の妥当性確認を行う.*c)関係するリスク分析の証拠を文書化する.*d)検証及び妥当性確認の記録を保持する.*供給者で行う変更を含めて、 変更は、 製造工程に与える変更の影響の妥*当性確認を行うために、 その変更点 (部品設計、 製造場所、 又は製造工程*の変更のような) の検証に対する生産トライアル稼働を要求することが望*ましい.*顧客に要求される場合、 組織は、 次の事項を実施しなければならない.*e)直近の製品承認の後の、 計画した製品実現の変更を顧客に通知する.*f)変更の実施の前に、 文書化した承認を得る.*g)生産トライアル稼働及び新製品の妥当性確認のような、 追加の検証又*は識別の要求事項を完了する.*
8.5.6.1.1, 工程管理の一時的変更*組織は、 検査、 測定、 試験及びポカヨケ装置を含む、 工程管理のリスト*を特定し、 文書化し、 維持しなければならない. そのリストには、 当初の*工程管理及び承認されたバックアップ又は代丈方法を含める.*組織は、 代替管理方法の使用を運用管理するプロセスを文書化しなけれ*ばならない. 組織は、 このプロセスに、 リスク分析 (FMEAのような)*に基づいて、 重大性及び代替管理方法の生産実施の前に取得する内部承認*を含めなければならない.*代替手法を使用して、 検査され又は試験された製品の出荷の前に、 要求*される場合、 組織は、 顧客の承認を取得しなければならない. 組織は、 コ*ントロールプランに引用され、 承認された代替工程管理方法のリストを、*維持し、 定期的にレビューしなければならない.*標準作業指示書は、 各代替工程管理方法に対して利用可能でなければな*らない. 組織は、 コントロールプランに定められた標準工程に可及的速や*かに復帰することを日標とする、 標準作業の実施を検証するために、 代共*工程管理の運用を、 最低限、 日常的にレビューしなければならない. 方法*例には次の事項を含める. しかし、 それに限定されない.*a)日常的品質重視監査(例 該当する場合には、 必ず、 階層別工程監査)*b) 日常的リーダーシップ会議*重大性によって定められている期間及びポカヨケ装置又は工程の全ての*機能が有効に復帰しているとの確認に基づいて、 再稼働検証を文書化する.*組織は、 代替工程管理装置又は工程が使用されていた間、 生産された全*ての製品に対しトレーサビリティを実施しなければならない (例 シフト*ごとに得られた初品及び終品の検証及び保管).*
8.6, 製品及びサービスのリリース*製品及びサービスの要求事項を満たしていることを検証す*るために、適切な段階において、計画した取決めを実施しなければな*い。*計画した取決めが問題なく完了するまでは、顧客への製品及びサービス*のリリースを行ってはならない.ただし、当該の権限を持つ者が*承認し、かつ、顧客が承認した場合には*この限りではない。*組織は、 製品及びサービスのリリースについて文書化した情報を保*持しなければならない. これには、次の事項を含まなければならない.*a)合否判定基準の適合の証拠*b)リリースを正式に許可した人 (又は人々) に対するトレーサビリ*ティ*
8.6.1, 製品及びサービスのリリースー-補足*組織は、 製品及びサービスの有要求事項が満たされていることを検証する*ための計画した取決めが、 コントロールプランを網維し、 かつ、 コントロ*ールプラン (附属書A 参照) に規定されたように文書化らきれていること*を確実にしなければならない.*組織は、 製品及びサービスの初回リリースに対する計画した取決めが、*製品又はサービスの上承認を綱維することを確実にしなければならない.*組織は、 製品又はサービスの上承認が、 ISO 9001 の 8.5.6 に従って、 初*回リリースに引き続く変更の後に遂行きれることを確実にしなければなら*ない.*
8.6.2, レイアウト検査及び機能試験*レイアウト検査、 並びに該当する顧客の材料及び性能の技術規格に対す*る機能検証は、コントロールプランに規定されたとおり、 各製品に対して*実行されなければならない. その結果は、 顧和容がレビューのために利用で*きなければならない.*注記1 レイアウト検査は、 設計記録に示される全ての製品寸法を完*全に測定することである.*注記2 レイアウト検査の頻度は、 顧客によって決定される.*
8.6.3, 外観品目*【外観品目】として顧客に指定された組織の製造部品に対して、 組織*は、 次の事項を提供しなければならない.*a)照明を含む、 評価のための適切な資源*b)必要に応じて、 色、 絞、 光沢、 金属性光沢、 風合い、 イメージの明瞭*き (DOI) のマスター及び触覚技術*c)外観マスター及び評価設備の保全及び管理*d)外観評価を実施する要員が力量をもちそれを実施する資格をもってい*ることの検証*
8.6.4, 外部から提供される製品及びサービスの検証及び受入れ*組織は、 次の方法を一つ以上用いて、 外部から提供きれるプロセス、 製*品及びサービスの品質を確実にするプロセスをもたなければならない.*a)供給者から組織に提供された統計データの受領及び評価*b)パフォーマンスに基づく抜取検査のような、 受入検査及び叉は試験*c)受入れ可能な納入製品の要求事項への適合の記録を伴う場合、 供給者*のサイトの第二者若しくは第三者の評価又は監査*d)指定された試験所による部品評価*e)顧客と合意した他の方法*
8.6.5, 法令・規制への適合*自社の生産フローに外部から提供きれる製品をリリースする前に、 組織*は、 外部から提供されるプロセス、 製品及びサービスが、 製造きれた国及*び提供されれば顧客指定の仕向国における最新の法令、 規制及び他の要求*事項に適合していることを確認し、 それを証明する証拠を提供できなけれ*ばならない.*
8.6.6, 合否判定基準*合否判定基準は、 組織によって定められ、 必要に応じて双は要求があ*る場合、 顧客に承認されなければならない. 抜取りで得られた計数データ*の合厨判定水準は。 不良ゼロ (ゼロ・デイィフェクト) でなければならない*(9.1.1.1 参照).*
8.7, 不適全アウトプットの管理*
8.7.1, 組織は、要求事項に適合しないアウトプットが誤って使用さ*れること又は引き渡されることを防ぐために、それらを識別し、管理*することを確実にしなければならない。*組織は 不適合の性質、並びにそれがサービスの適合に与*える影響に基づいて、 適切な処置をとらなければならない。 これは、*製品の引渡し後、 サービスの提供中又は提供後に検出された、 不適合*な製品及びサービスにも適用きれなければならない.*組織は、 次のーつ以上の方法で、 不適合なアウトプットを処理しな*ければならない.*a)修正*b)製品及びサービスの分離、 散逸防止、 返却又は提供停止*c)顧客への通知*d)特別採用による受入の正式な許可の取得*不適合なアウトプットに修正を施したときには、要求事項への適合を検証しなければならない。*
8.7.1.1, 特別採用に対する顧客の正式許可*組織は、 製品又は製造工程が現在承認されているものと異なる場合は常*に、 その後の処理の前に顧客の特別採用又は逸脱許可を得なければならない.*組織は、 不適合製品の【現状での使用】及び手直しをする処置について*以降の処理を進める前に顧客の正式許可を受けなければならない. もし構*成部品が製造工程で再使用きれる場合は、 その構成部品は、 特別採用又は*逸脱許可によって、 明確に顧客に伝舌しなければならない.*組織は、 特別採用によって正式許可された満了日又は数量の記録を維持*しなければならない. 組織は、 正式許可が満了となったときには、 元の又*は置き換わった新たな仕様書及び要求事項に適合していることを確実にし*なければならない. 特別採用として出荷される材料は、 各出荷容器上で適*切に識別きれなければならない (これは、 購入きれた製品にも等しく適用*する.). 組織は供給者からの要請に対して、 顧客に提出する前に、 承認し*なければならない.*
8.7.1.2, 不適合製品の管理一顧客規定のプロセス*粗織は、 不適合製品に対して該当する顧客規定の管理に従わなければな*らない.*
8.7.1.3, 疑わしい製品の管理*組織は、 未確認の又は疑わしい状態の製品を、 不適合製品として分類し*管理することを確実にしなければならない. 組織は、 全ての適切な製造要*員が、 疑わしい製品及び不適合製品の封じ込めの教育訓練を受けることを*確実にしなければならない.*
8.7.1.4, 手直し製品の管理*組織は、 製品を手直しする判断の前に、 手直し工程におけるリスクを評*価するために、 リスク分析 (FMEA のような) の方法論を活用しなけれ*ばならない. 顧客から要求される場合、 組織は、 製品の手直しを開始する*前に、 顧客から承認を取得しなければならない.*組織は、 コントロールプラン又は他の関連する文書化した情報に従っ*て、 原仕様への適合を検証する手直し確認の文書化したプロセスをもたな*ければならない.*再検査及びトレーサビリティ要求事項を含む、 分解又は手直し指示書*は、 適切な要員がアクセスでき、 利用できなければならない.*組織は、 量、 処置、 処置日及び該当するトレーサビリティ情報を含め*て、 手直しした製品の処置に関する文書化した情報を保持しなければなら*ない.*
8.7.1.5, 修理製品の管理*組織は、 製品を修理する判断の前に、 修理工程におけるリスクを評価す*るために、 リスク分析 (FMEA のような) の方法只を活用しなければな*らない. 組織は、 製品の修理を開始する前に、 顧客から承認を取得しなけ*ればならない.*組織は、 コントロールプラン又は他の関連する文書化した情報に従っ*て、 修理確認の文書化したプロセスをもたなければならない.*再検査及びトレーサビリティ要求事項を含む、 分解又は修理指示書は*適切な要員がアクセスでき、 利用できなければならない.*組織は、 修理される製品の特別採用について、 文書化した顧客の正式許*可を取得しなければならない.*組織は、 量、 処置、 処置日及び該当するトレーサビリティ情報を含めて、*修理した製品の処置に関する文書化した情報を保持しなければならない.*
8.7.1.6, 顧客への通知*不適合製品が出荷きれた場合には、 顧客に対して速やかに通知しなけれ*ばならない. 初回の伝達に引き続き、 その事象の詳細な文書を提供しなけ*ればならない.*
8.7.1.7, 不適合製品の廃棄*組織は、 手直し又は修理できない不適合製品の廃棄に関する文書化した*プロセスをもたなければならない. 要求事項を満たさない製品に対して、*組織は、 スクラップされる製品が廃棄の前に使用不可の状態にきれている*ことを検証しなければならない.*組織は、 事前の顧客承認なしで、 不適合製品をサービス又は他の使用に*流用してはならない.*
8.7.2, 組織は、次の事項を満たす文書化した情報を保持しなければならない*a)不適合が記載されている*b)とった処置が記載されている*c)取得した特別採用が記載されている*d)不適合に関する処置について決定する権限をもつ者を特定している*
9, パフォーマンス評価*
9.1, 監視、測定、分析及び評価*
9.1.1, 一般*組織は、次の事項を決定しなければならない。*a)監視及び測定が必要な対象*b)妥当な結果を確実にするために必要な、 監視、測定、分析及び評*価の方法*c)監視及び測定の実施時期*d)監視及び測定の結果の、 分析及び評価の時期*組織は、品質マネジメントシステムのパフォーマンス及び有効性を*評価しなければならない。*組織は、この結果を証拠として、適切な文書化した情報を保持しな*ければならない。*
9.1.1.1, 製造工程の監視及び測定*組織は、 全ての新規製造工程 (組立又は整列を含む.) に対して、 工程*能力を検証し、 特殊特性の管理を含む工程管理への追加インプットを提供*するために、 工程調査を実施しなければならない.*注記 製造工程ににっては、 工程能力を通じて製品適合を実証するこ*とができない場合がある. それらの工程に対しては、 仕様書に*対する一括適合のような代替の方法を採用してもよい.*組織は、 顧客の部品承認プロセス要求事項で規定された製造工程能*(Cpk)※ 又は製造工程性能 (Ppk)の結果を維持しなければならない. 組織*は、 工程フブロー図、 PFMEA 及びコントロールプランが実施さきれることを*確実にしなければならない. これには次の事項の順守を含めなければなら*ない.*a)測定手法*b)抜取計画*c)合否判定基準*d)変数データに対する実際の測定値及び又は試験結果の記録*e)合否判定基準が満たされない場合の対応計画及び上申プロセス*治工具の変更 機械の修理のような工程の重大な出来事は、 文書化した*情報として記録し保持しなければならない.*組織は、 統計的に能力不足又は不安定のいずれかである特性に対して、*コントロールプランに記載されている、 仕様への適合の影響が評価された*対応計画を開始しなければならない. 対応計画には、 必要に応じて、 製品*の封じ込め及び全数検査を信めなければならない. 工程が安定し、 統計的*に能力をもつようになることを確実にするために、 特定の処置、 時期及び*担当責任者を規定する涯正処思計画を策定し実施しなければならない. こ*の計画は、 要求される場合、 顧客とともにレビューし承認を得なければな*らない.*組織は、 工程変更の実効日付の記録を維持しなければならない.*-----------------------------------------*※( ) 内の記号は、 AIAG 承認のもと、 日本語版にのみ加筆したものである.*
9.1.1.2, 統計的ツールの特定*粗織は、 統計的ツールの適切な使い方を決定しなければならない. 組*織は、 適切な統計的ツールが先行製品品質計画 (又はそれに相当する) プ*ロセスの一部として含まれていること、 かつ、 設計リスク分析 (DFMEA*のような) (該当する場合には、 必ず)、 工程リスク分析 (PFMEA のよう*な) 及びコントロールプランに含まれていることを検証しなければならな*い*
9.1.1.3, 統計概念の適用*ばらつき、 管理 (安定性)、 工程能力及び過剰調整によって起きてしま*う 結果のような統計概念は、 統計データの収集、 分析及び管理に携わる従*業員に理解され、 使用きれなければならない.*
9.1.2, 顧客満足*組織は、顧客ニーズ及び期待が満たされている程度について、顧客*がどのように受け止めているかを監視しなければならない。組織*は、この情報の入手、監視及びレビューの方法を決定しなければ*ならない。*注記 顧客の受け止め方の監視には、例えば、顧客調査、提供した製品*及びサービスに関する顧客からのフィードバック、顧客との会合、市場シェアの分析、顧客からの賛辞、補償請求及びディーラー報告が含まれ得る。*
9.1.2.1, 顧客満足一補足*製品及びプロセスの仕様書及び他の顧客要求事項への適合を確実にする*ために、内部及び外部の評価指標の継続的評価を通じて、 組織に対する顧*客満足を監視しなければならない.*パフォーマンス指標は、 客観的証拠に基づき、 次の事項を含めなければ*ならない. しかし、 それに限定さきれない.*a)納入した部品の品質パフォーマンス*b)顧客が被った迷惑*c)市場で起きた回収.リコール、 補償 (該当する場合には、 必ず)*d)納期パフォーマンス (特別輸送費が発生する不具合を含む. )*e)品質又は納期間題に関する、 特別状態を含む、 顧客からの通知*組織は、製品品質及びプロセス効率に対する顧客要求事項への適合を実*証するために、 製造工程のパフォーマンスを監視しなければならない. 監*視には、提供される場合、オンライン顧客ポータル及び顧客スコアカード*を含む、 顧客パブフォーマンスデータのレビューを含めなければならない.*
9.1.3, 分析及び評価*組織は、 監視及び測定からの適切なデータ及び情報を分析し、評価*しなければならない.*分析の結果は、 の天を評価するために用いなければならない。*a)製品及びサービスの適合*b)願客満足度*c)品質マネジメントシステムのパフォーマンス及び有効性*d)計画が効果的に実施されたかどうか*e)リスク及び機会への取組みの有効必*f)外部提供者のパフォーマンス*g)品質マネジメントシステムの改善の必要性*注記 データを分析する方法には、 統計的手法が含まれ得る.*
9.1.3.1, 優先順位付け*品質及び運用パフォーマンスの傾向は、 目標への進展と比較し、 顧客*満足を改善する処置の優先順位付けを支援する処置を導かなければならな*い.*
9.2, 内部監査*
9.2.1, 組織は、 品質マネジメントシステムが次の状況にあるか否か*に関する情報を提供するために、 あらかじめ定めた間隔で内部監査を*実施しなければならない.      TI*a)次の事項に適合している.   1*1)品質マネジメントシステムに関して、組織自体が規定した要求事項*2)この規格の要ま事項*b)有効に実施され、維持されている.*
9.2.2, 組織は、 次に示す事項を行わかなければならない.*a) 頻度、 方法、 責任計画要求事項及び報告を含む監査プログラ*ムの計画、 確立、 実施及び維持. 監査プログラムは、 関連するプ*ロセスの重要性、 組織に影響を及ぼす変更、 及び前回までの監査*の結果を考慮に入れなければならない.*b)各監査について、 監査基準及び監査範囲を定める.*c)監査プロセスの客観性及び公平性を確保するために、監査人を選定し、監査を実施する。*d)監査の結果を関連する管理層に報告することを確実にする*e)遅滞なく、適切な修正を行い、是正処置をとる。*f)監査プログラムの実施及び監査結果の証拠として、文書化した情報を保持する。*注記：手引きとして JIS Q 19011 を参照*
9.2.2.1, 内部監査プログラム*組織は、 文書化した内部監査プロセスをもたなければならない. そのプ*ロセスには、 品質マネジメントシステム監査、 製造工程監査及び製品監査*を含む、 品質マネジメントシステム全体を綱維する内部監査プログラムの*策定及び実施を含めなければならない.*監査プログラムは、 リスク、 内部及び外部パフォーマンスの傾向及びプ*ロセスの重大性に基づいて優先付けしなければならない.*組織がソフトウェア開発の南任がある場合、 組織は. ソフトウェア開発*能力評価を監査プログラムに含めなければならない.*プロセス変更、 内部及び外部不適合、 並びに秩客苦情に基づいて、 監査*頻度をレビューし、 必要に応じて、 調整しなければならない. 監査プログ*ラムの有効性は、 マネジメントレビューの一部としてレビューしなければ*ならない.*
9.2.2.2, 品質マネジメントシステム監査*組織は、 この自動車産業 QMS 規格への適合を検証するために、 プロセ*スアプローチを使用して、 各3暦年の期間、 年次プログラムに従って、*全ての品質マネジメントシステムのプロセスを監査しなはければならない.*それらの監査に統合させて、 組織は、 顧客固有の品質マネジメントシステ*ム 要求事項が、 効果的に実施ほきれているかをサンプリング確認しなければ*ならない.*
