4.4, 品質マネジメントシステム及びそのプロセス *
8.7.1, 取引先企業は、 要求事項に適合しない製品が誤って使用されたり、又は引き渡されることを防ぐために、 *それらを識別し、 管理することを確実にして下さい。 *不適合の性質、並びにそれが製品に与える影響に基づいて適切な処置をとって下さい。 これには引き渡し後 *の製品にも適用されます。 *次の1つ以上の方法で、 不適合製品を処理してください。 *(1) 修正 *(2) 製品の分離、 散逸防止、 返却または提供停止 *(3) 当社への通知 *(4) 特別採用による受入れの正式な許可の取得 *不適合製品を修正した場合、 要求事項への適合を検証しなければならない。 *
8.7.1.1, 特別採用に対する当社の正式許可 【IATF】 【全体】 *取引先企業は、製品又は製造工程が現在承認されているものと異なる場合は常に、処理前に当社に特別採用 *申請書を発行し、 認可を得て下さい。 *不適合製品の”現状での使用 “及び手直しをする場合、処理をする前に当社の正式許可を受けてください。 *認可の満了日又は数量の記録を維持して下さい。 また、 認可が満了するときには、元の又は新たな仕様書及 *び要求事項に適合していることを確実にして下さい。 認可に基づいて出荷される部材は、 各出荷容器上で適 *切に識別できるようにして下さい。 *これは、購買製品にも等しく適用します。 取引先企業は、 供給者・アウトソーシング業者からのあらゆる要 *請に対しては、当社に提出する前に、承認して下さい。 *<所定様式> *「特別採用申請書」 (付表-7 TC12-A03/7) *
8.7.1.2, 不適合製品の管理当社規定のプロセス *本ガイドライン 8.7項全体を指す。 *
8.7.1.3, 疑わしい製品の管理 【IATF】 【全体】 *未確認の、又は疑わしい状態の製品は、不適合製品として分類して下さい。 *上記の処置は、 全ての製造要員に対して教育訓練を実施して下さい。 *疑わしい状態には、以下のような例があります。 *・保管期限を超えた製品 *異常と判断された設備、 計測器で製造・検査されていた製品 *・検査後の落下品、 ダメージ品など *
8.7.1.4, 手直し製品の管理 【IATF】 【全体】 *取引先企業は、製品を手直しする前に手直し工程におけるリスク分析を実施したうえで、当社から *承認を受けてください。 8.7.1.1「特別採用申請書」 参照 *コントロールプランまたは関連文書に従って、 原仕様への適合を検証するプロセスを文書化してください。 *再検査要求事項を含む手直し指示書は、適切な従業員が閲覧し、活用できるようにして下さい。 *数量、処置内容、 該当するトレーサビリティ情報を含めた、 手直し製品に関する文書化した規定を *保持してください。 *
8.7.1.5, 修理製品の管理 【IATF】 【全体】 *
8.7.1.6, 当社への通知 【IATF】 【全体】 *不適合製品が出荷された場合には、 当社に対して直ちに通知して下さい。 *その後、速やかに詳細文書を提出して下さい。 *
8.7.1.7, 不適合製品の廃棄 【IATF】 【限定】 *不適合製品の廃棄に関する文書化したプロセスを維持して下さい。 *スクラップされる製品が廃棄の前に使用不可の状態にされていることを検証してください。 *取引先企業は、 事前の当社承認無しで、 不適合製品をサービス又は他の使用に流用しないでください。 *
8.7.2, 次の事項を記載した不適合対策記録を保持してください。 *(1) 不適合の内容 *(2) とった処置 *(3) 該当する場合、 取得した特別採用 *(4) 処置について決定する権限を持つ者を特定している。 *
9., パフォーマンス評価 *
9.1, 監視、測定、分析及び評価 *
9.1.1, 一般 *品質マネジメントシステムのパフォーマンス及び有効性を評価し、 評価結果の記録 *(各部門の業務実施計画など) を残してください。 *そのために、以下の事項を決定すること。 *(1) 監視及び測定が必要な対象 *(2) 妥当な結果を確実にするために必要な、 監視、 測定、分析及び評価の方法 *(3) 監視及び測定の実施時期 *(4) 監視及び測定の結果の、分析及び評価の時期 *
9.1.1.1, 製造工程の監視及び測定 【IATF】 【限定】 *当社から要求がある場合、 すべての新しい製造工程 (組立又はシーケンスを含む) に関して、 工程能力を検 *証し、 特殊特性の管理を含む工程管理へのインプットを追加するために、 工程調査を実施して下さい。 *当社の部品承認プロセス要求事項で規定された製造工程能力 (Cpk) 又は製造工程性能 (Ppk) を維持し *て下さい。 コントロールプラン及び製造工程フローチャート PFMEA を作成・実施して下さい。 *これには次の規定事項の順守を含めて下さい。 *(1) 測定手法 *(2) 抜取方式 *(3) 合否判定基準 *(4) 実際の測定値および/または試験結果の記録 *(5) 合否判定基準が満たされない場合の対応計画 *治工具の変更、 機械の修理のような工程の重大な出来事は記録をして下さい。 *取引先企業は、統計的に能力不足又は不安定のいずれかを示す特性に対して、コントロールプランに記載さ *れた対応計画を開始して下さい。 対応計画には、 製品の隔離及び全数 (100%) 検査を適切に *含めて下さい。 *そして工程が安定し、必要な能力をもつようになることを保証するため、期限及び担当責任者を示した是正 *処置計画を作成して下さい。 この計画は、要求されている場合は、当社と共にレビューし、承 *得て下さい。 *工程変更の実効日付の記録を維持して下さい。 *
9.1.1.1.1, 製造工程の監視及び測定--補足 *取引先企業における工程及び製品で異常が発見された場合、 異常処置のルールに従って迅速かつ正確に *連絡・処置して不適合品の発生や流出を未然に防止すると共に、当該異常の再発防止を確実に実施して *下さい。 *当社への流出が想定される場合、速やかに処置状況を当社に連絡してください。 *(1) 異常管理体制の構築 *取引先企業は、 異常について適切な管理を行うために、以下の内容を実施して下さい。 *a.工程毎に、どのような異常があるのか定義して下さい。 *b.異常の定義及び処置方法を含む異常の管理ルールを定め文書化して下さい。 *c. 異常の定義及び処置方法について、 従業員に教育・訓練を行って下さい。 *d.異常管理責任者を定め、 確実に異常の管理を行って下さい。 *(2) 異常の具体例 *異常とは、作業や工程 (5M1E)及び製品が通常と異なる状態をいいます。 *例えば、異常には以下に示すような事例があります。 *a. いつもと違う音、 色、 手触り、臭い、硬さ、 精度等を感じたとき。 *b.作業標準通りに作業しても良品が出来ないとき。 *c..設備、 治工具等にいつもと違った現象が起こったとき。 例; 温度が異なる、 設備の異常ランプの点灯、 *油漏れ等。 *d. 包装品や組付け部品の過不足が判明したとき。 *又は余った等。 *e. 管理図等の管理限界外れが発生したとき。 *
9.1.1.2, 統計的ツールの特定 【IATF 】 【限定】 *適切な統計的ツールが製品承認プロセスの一部として含まれている事、 かつ設計リスク分析 *(DFMEAのような)や工程リスク分析 (PFMEAのような)及びコントロールプランに含まれて *いる事を確認する。 *
9.1.1.3, 統計概念の適用 【IATF】 【限定】 *ばらつき、管理(安定性)、 工程能力及び基本的統計概念は、統計データの収集、分析、管理に携わる要員 *において理解され、利用されるようにして下さい。 *
9.1.2, 顧客満足 *品質マネジメントシステム実施状況の測定の一つとして、 当社の要求事項を満たしているかどうかに関して *当社がどのように受けとめているかどうかについての情報を監視して下さい。 *この情報の入手及び使用の方法を定めて下さい。 *例;員数を確認した際、部品が不足している *
9.1.2.1, 顧客満足---補足 【IATF】 【全体】 *取引先企業は当社の満足度を監視して下さい。 パフォーマンスの指標は、客観的なデータによって裏付けら *れ、 次の事項を含めて下さい。 しかし、 これらに限定されるものではありません。 *(1) 納入した部品の品質実績 *(2) 当社が被った迷惑 *(3) 市場で起きた回収、リコール、補償 *(4) 納期実績(特別輸送費が発生する不具合を含む) *(5) 品質又は納期問題に関する、 当社からの通知 *(6) 当社への技術プレゼン頻度 *(7) コストダウン協力 *(8) グリーン調達への協力度 *取引先企業は、 製品品質及びプロセス効率に対する当社の要求事項への適合を実証するために、製造工程の *成果を含む実施状況を監視して下さい。 *監視には、提供される場合、 当社スコアカードを含むデータのレビューを含めてください。 *
9.1.3, 分析及び評価 *監視及び測定からの適切なデータ及び情報を分析し、 評価してください。 *分析の結果は、次の事項を評価するために使用してください。 *(1) 製品及びサービスの適合 *(2) 顧客満足度 *(3) 品質マネジメントシステムのパフォーマンスおよび有効性 *(4) 計画が効果的に実行されたか *(5) リスクおよび機会への取り組みの有効性 *(6) 外部供給者のパフォーマンス *(7) 品質マネジメントシステムの改善の必要性 *
9.1.3.1, 優先順位づけ 【IATF】 【限定】 *品質及び操業の成果を含む実施状況の傾向は、 目標に対する進捗と比較して下さい。 *当社満足度を改善する処置の優先順位づけを支援する活動を導くように実施して下さい。 *“品質及び操業の成果を含む実施状況” には次のようなものがあります。 *生産性 *・品質不適合コスト *・プロセスの効率及び有効性 *・生産アウトプット *
9.2, 内部監査 *
9.2.1, 取引先企業は、 品質マネジメントシステムの次の事項が満たされているか否かを明確にするために、あ *らかじめ定められた間隔で内部監査を実施して下さい。 *a) 品質マネジメントシステムが、 本ガイドラインに適合しているか、 及び取引先企業が定めた品質マネジメ *ントシステム要求事項に適合しているか *b) 品質マネジメントシステムが効果的に実施され、 維持されているか *
9.2.2, 取引先企業は、 監査の対象となるプロセス及び領域の状態及び重要性、 並びにこれまでの監査結果を考 *慮して、監査プログラムを策定して下さい。 監査の基準、 範囲、 頻度及び方法を規定して下さい。 監査員の *選定及び監査の実施においては、監査プロセスの客観性及び公平性を確保して下さい。 監査員は、自らの仕 *事を監査しないで下さい。 *監査の計画及び実施、 記録の作成及び結果の報告に関する責任、並びに要求事項を規定するために、文書化 *した手順を確立して下さい。 *監査及びその結果の記録を維持して下さい。 *監査された領域に責任をもつ管理者は、 検出された不適合及びその原因を除去するために遅滞なく、 必要な *修正及び是正処置すべてがとられることを確実にして下さい。 フォローアップには、とられた処置の検証及 *び検証結果の報告を含めて下さい。 *
9.2.2.1, 内部監査プログラム 【IATF】【限定】 *取引先企業は内部監査プロセスについて文書化し規定してください。 *そのプロセスには、品質マネジメントシステム監査、 製造工程監査、 製品監査を含むこと。 *監査プログラムはリスク、 内部及び外部パフォーマンスの傾向及びプロセスの重大性に基づいて優先付を *してください。 *プロセス変更、内部及び外部不適合、並びに顧客苦情に基づいて、監査頻度をレビューし、必要に応じて、 *調整してください。 監査プログラムの有効性は、マネジメントレビューの一部としてレビューしてください。 *
9.2.2.2, 品質マネジメント監査 【IATF】 【全体】 *取引先企業は、この品質ガイドラインに適合していることを検証するために、プロセスアプローチを使用し *てすべての品汁マネジメントシステムのプロセスの監査を実施して下さい。 *
9.2.2.3, 製造工程監査 【IATF】 【限定】 *取引先企業は、すべての製造工程の監査を実施して下さい。 *各製造工程はすべてのシフトを監査対象としてください。 *工程リスク分析 (FMEA など)、コントロールプラン及び関連文書が効果的に実施されているか確認してくだ *さい。 *
9.2.2.4, 製品監査 【IATF】 【限定】 *取引先企業は、 すべての規定要求事項への適合を検証するために、 生産及び引渡しの適切な段階で、定めら *れた頻度によって製品を監査して下さい。 *
9.3, マネジメントレビュー *
9.3.1, 一般 *経営者は、自社の品質マネジメントシステムが、 引き続き、 適切、 妥当かつ有効であることを確実にする *ために、あらかじめ定められた間隔で品質マネジメントシステムをレビューして下さい。 *
9.3.1.1, マネジメントレビュー――補足 【IATF】 【全体】 *マネジメントレビューは、少なくとも年次で実施下さい。 *内部または外部の環境変化による当社要求事項への適合のリスクに対してマネジメントレビューの頻度を *増やしてください。 *
9.3.2, マネジメントレビューへのインプット *マネジメントレビューへのインプットには、次の情報を含めてください。 *(1) 顧客及び利害関係者からのフィードバック (顧客満足度、 クレーム、) *(2) 品質目標の達成度 *(3) 製品及びサービスの適合状況 *(4) 不適合の内容及び是正処置 *(5) 不適合及び顧客クレームの集計分析結果 *(6) 監査結果 (内部監査、 顧客監査、 認証審査) *(7) 外部供給者のパフォーマンス *(8) 資源 (生産人員、設備) の妥当性 *(9) リスク及び機会への取り組みの有効性 *(10) 改善提案 *(11) 前回課題のフォローアップ *
9.3.2.1, マネジメントレビューへのインプットー補足 【IATF】【限定】 *9.3.2に加え、 次の情報を含めてください。 *(1) 新規製品又は新規工程に対する製造フィージビリティ評価 *(2)設備保全のパフォーマンス *(3) 顧客クレームによる補償 *(4) 流出した不良品が市場に与える影響 *
9.3.3, マネジメントレビューからのアウトプット *マネジメントレビューからのアウトプットには、次の事項の決定および処置を含め、記録を維持 *してください。 *(1) 改善提案に対する指示 *(2) 品質マネジメントシステム変更の必要性 *(3) 資源の必要性 *
9.3.3.1, マネジメントレビューからのアウトプット 補足 【IATF】 【全体】 *経営者は、顧客のパフォーマンス目標が達成されていない場合には処置計画をたて実行してください。 *
10., 改善 *
10.1, 一般 *取引先企業は当社要求事項を満たし、 当社満足を向上させるために、 改善のための機会を明確にし選択し、 *必要な処置を実施して下さい。 これには次の事項を含めてください。 *(1) 要求事項を満たすため、並びに将来のニーズ及び期待に取り組むための、 製品及びサービスの改善 *(2) 望ましくない影響の修正、 防止または低減 *(3) 品質マネジメントシステムのパフォーマンス及び有効性の改善 *・当社製品へ主要品質として影響が想定される、もしくは、 具体的な品質目標の指示をさせていただいた場 *合、個別に改善テーマを選定及び成果報告を求める場合があります。 *
10.2, 不適合及び是正処置 *
10.2.1,取引先企業は、 再発防止のため、不適合の原因を除去する処置をとって下さい。 *是正処置は、検出された不適合のもつ影響に応じたものにして下さい。 *(1) 不適合(当社からの苦情を含む) の内容確認 *(2) 不適合の原因の特定 *(3) 不適合の再発防止を確実にするための処置の必要性の評価 *(4) 必要な処置の決定及び実施 *(5) とった処置の記録 *(6) とった是正処置の有効性のレビュー *(7) 必要に応じ、リスク及び機会、 品質マネジメントシステムの変更を行う。 *
10.2.2, 上記事項に関する要求事項を明確にするために、文書化した手順を確立して下さい。 *
10.2.3, 問題解決 【IATF 】 【全体】 *取引先企業は、 次を含む問題解決の方法を文書化してください。 *規定されたプロセス、ツール、又は問題解決のシステムが当社から指定された場合、 そちらを適用する。 *(1) 不適合又は当社クレームの問題の大きさや規模に対する定められたアプローチの方法 *(2) 不適合なアウトプットの管理に必要な封じ込め、暫定処置、 及び関係する活動 *(3) 根本原因分析、 使用される方法論、分析及び結果 *(4) 類似のプロセス及び製品への影響を考慮する事を含む、 体系的是正処置の実施 *(5) 実施された是正処置の有効性検証 *(6) 適切な文書化した情報 ( 例 PFMEA、コントロールプラン) のレビュー及び必要に応じた更新 *当社推奨の PFMEA 様式を以下に示しますが、 必要報告項目が網羅されていれば様式は任意とします。 *<所定様式> *「PFMEA 推奨様式」 (付表-8 TC12-A03/8) *
10.2.4, ポカヨケ 【IATF】 【全体】 *取引先企業は、 ポカヨケ運用にあたり採用した手法について、 FMEA及びQC工程表へ記載してください。 *また、故障に対する対応計画を維持してください。 *ポカヨケ装置の運用には、模擬故障テストを含める。 確認の結果は始業点検表及び製造記録へ記録し、維持 *してください。マスターサンプルが使用される場合、 定期的な検証、 校正を実施してください。 *
10.2.5, 補償管理システム 【IATF】【限定】 *取引先企業の製品に対して補償を要求される場合、NTF (No Trouble Found) を含めて、補償管理 *プロセスを実行してください。 *当社に指定された場合、 その要求される補償管理プロセスを実施してください。 *NTFとは、クレームとして顧客から現品が返却されるが、 社内分析では不具合が再現せずにトラブルの *特定が困難な事象を指します。 *
10.2.6, 顧客苦情及び市場不具合の試験・分析 【IATF】 【全体】 *取引先企業は、 当社の顧客または当社苦情及び市場不具合に対して、回収された部品を含めて、 *分析をしてください。 *そして、再発防止のために問題解決及び是正処置を実施し、 試験/分析の結果とともに当社及び自社内に *速やかに報告してください。 *・調査一報は24H以内 *・応急対策は72H以内。 *・最終報告は稼働5日以内 *特に緊急を要する場合は当社の指示に従ってください。 *付表-9または付表-10を発行しますが、 必要報告項目が網羅されていれば様式は任意とします。
